Depth,Time,BHT,Mud Inlet Temp,Mud Outlet Temp,SFT,,,,,,,,,,,,,,,,,,,,,,
1908.58,22.67,79.25,64.52,68.19,139.87,,,,,,,,,,,,,,,,,,,,,,
1936.92,22.80,76.79,64.21,70.03,142.63,,,,,,,,,,,,,,,,,,,,,,
1942.59,22.80,73.11,62.37,69.42,141.71,,,,,,,,,,,,,,,,,,,,,,
1919.91,22.93,72.49,62.06,67.58,142.01,,,,,,,,,,,,,,,,,,,,,,
1942.59,23.07,75.56,61.14,70.96,143.55,,,,,,,,,,,,,,,,,,,,,,
1953.92,23.20,77.72,59.61,71.88,144.16,,,,,,,,,,,,,,,,,,,,,,
1959.59,23.20,78.33,59.30,71.27,144.16,,,,,,,,,,,,,,,,,,,,,,
1931.25,23.33,81.40,58.68,72.80,145.69,,,,,,,,,,,,,,,,,,,,,,
1953.92,23.33,82.32,57.46,74.34,144.77,,,,,,,,,,,,,,,,,,,,,,
1965.26,23.47,82.94,58.07,74.04,145.69,,,,,,,,,,,,,,,,,,,,,,
1987.94,23.60,75.88,55.00,73.11,145.69,,,,,,,,,,,,,,,,,,,,,,
1987.94,23.60,79.56,55.00,72.50,143.85,,,,,,,,,,,,,,,,,,,,,,
2021.95,23.60,82.64,53.77,71.89,144.46,,,,,,,,,,,,,,,,,,,,,,
2038.95,23.60,80.18,52.85,71.27,144.77,,,,,,,,,,,,,,,,,,,,,,
1999.27,23.73,78.95,52.54,70.66,146.30,,,,,,,,,,,,,,,,,,,,,,
2016.28,23.87,78.03,52.23,71.28,144.77,,,,,,,,,,,,,,,,,,,,,,
2027.62,24.00,78.34,51.00,71.89,145.99,,,,,,,,,,,,,,,,,,,,,,
2033.28,24.13,75.57,50.70,73.12,148.45,,,,,,,,,,,,,,,,,,,,,,
2050.29,24.27,77.42,48.55,73.74,148.45,,,,,,,,,,,,,,,,,,,,,,
2061.63,24.27,78.65,49.47,74.35,148.14,,,,,,,,,,,,,,,,,,,,,,
2067.30,24.27,78.65,48.55,74.35,147.22,,,,,,,,,,,,,,,,,,,,,,
2084.30,24.40,78.96,49.16,73.74,148.75,,,,,,,,,,,,,,,,,,,,,,
2095.64,24.53,79.88,51.31,73.13,147.83,,,,,,,,,,,,,,,,,,,,,,
2123.98,24.53,79.88,52.85,71.90,148.45,,,,,,,,,,,,,,,,,,,,,,
2112.65,24.67,78.65,54.39,70.67,149.67,,,,,,,,,,,,,,,,,,,,,,
2101.31,24.80,83.57,55.31,68.83,149.98,,,,,,,,,,,,,,,,,,,,,,
1970.93,24.80,86.32,56.23,67.60,151.51,,,,,,,,,,,,,,,,,,,,,,
1976.60,24.93,83.86,58.08,65.75,149.98,,,,,,,,,,,,,,,,,,,,,,
1999.27,25.07,85.71,58.38,64.83,149.98,,,,,,,,,,,,,,,,,,,,,,
2010.61,25.07,86.02,58.08,63.29,151.20,,,,,,,,,,,,,,,,,,,,,,
1987.94,25.20,86.63,58.08,62.37,151.82,,,,,,,,,,,,,,,,,,,,,,
2021.95,25.33,87.55,57.16,62.07,152.12,,,,,,,,,,,,,,,,,,,,,,
2033.28,25.33,87.25,58.69,61.76,152.43,,,,,,,,,,,,,,,,,,,,,,
2055.96,25.47,87.25,59.92,63.30,152.43,,,,,,,,,,,,,,,,,,,,,,
2067.30,25.60,86.02,59.31,63.91,153.96,,,,,,,,,,,,,,,,,,,,,,
1965.26,25.73,87.55,59.62,64.53,153.65,,,,,,,,,,,,,,,,,,,,,,
1999.27,25.73,87.86,59.62,65.45,153.04,,,,,,,,,,,,,,,,,,,,,,
2123.98,25.73,86.34,59.93,66.07,154.88,,,,,,,,,,,,,,,,,,,,,,
2089.97,26.13,87.87,60.24,66.38,155.19,,,,,,,,,,,,,,,,,,,,,,
2101.31,26.13,88.79,61.16,68.22,155.19,,,,,,,,,,,,,,,,,,,,,,
2106.98,26.13,86.03,60.24,68.22,156.10,,,,,,,,,,,,,,,,,,,,,,
2118.31,26.27,84.18,59.93,68.84,155.18,,,,,,,,,,,,,,,,,,,,,,
2135.32,26.27,84.80,60.24,68.53,155.18,,,,,,,,,,,,,,,,,,,,,,
2152.33,26.27,82.34,59.32,67.92,156.10,,,,,,,,,,,,,,,,,,,,,,
2169.33,26.40,83.58,58.40,66.69,157.02,,,,,,,,,,,,,,,,,,,,,,
2163.66,26.40,85.42,58.71,67.00,157.02,,,,,,,,,,,,,,,,,,,,,,
2146.66,26.67,86.95,58.09,65.47,156.41,,,,,,,,,,,,,,,,,,,,,,
2123.98,26.93,88.49,56.87,64.85,157.63,,,,,,,,,,,,,,,,,,,,,,
2123.98,26.93,91.87,56.25,63.32,157.94,,,,,,,,,,,,,,,,,,,,,,
2135.32,26.93,89.10,53.18,61.78,158.25,,,,,,,,,,,,,,,,,,,,,,
2180.67,27.07,89.11,53.18,61.78,159.47,,,,,,,,,,,,,,,,,,,,,,
2203.34,27.20,87.27,54.10,61.17,159.78,,,,,,,,,,,,,,,,,,,,,,
2231.69,27.20,86.65,55.02,62.09,160.39,,,,,,,,,,,,,,,,,,,,,,
2214.68,27.33,91.57,47.96,63.63,161.00,,,,,,,,,,,,,,,,,,,,,,
2265.70,27.47,91.57,53.18,63.63,161.31,,,,,,,,,,,,,,,,,,,,,,
2248.69,27.60,90.04,52.87,64.24,161.62,,,,,,,,,,,,,,,,,,,,,,
2294.04,27.73,88.50,51.34,64.25,161.62,,,,,,,,,,,,,,,,,,,,,,
2305.38,27.87,91.58,51.64,65.78,164.07,,,,,,,,,,,,,,,,,,,,,,
2248.69,27.87,93.11,49.80,66.40,164.07,,,,,,,,,,,,,,,,,,,,,,
2248.69,27.87,95.87,49.80,66.71,164.68,,,,,,,,,,,,,,,,,,,,,,
2231.69,28.00,95.26,48.57,68.25,165.30,,,,,,,,,,,,,,,,,,,,,,
2220.35,28.13,95.26,46.73,68.86,165.61,,,,,,,,,,,,,,,,,,,,,,
2203.34,28.13,91.26,47.65,70.70,165.60,,,,,,,,,,,,,,,,,,,,,,
2288.37,28.13,92.80,47.96,70.09,167.14,,,,,,,,,,,,,,,,,,,,,,
2299.71,28.13,95.26,48.88,70.09,167.14,,,,,,,,,,,,,,,,,,,,,,
2316.72,28.27,95.27,49.19,71.01,167.75,,,,,,,,,,,,,,,,,,,,,,
2350.73,28.40,93.43,49.81,71.32,168.67,,,,,,,,,,,,,,,,,,,,,,
2356.40,28.40,92.20,49.81,73.17,169.90,,,,,,,,,,,,,,,,,,,,,,
2322.38,28.40,89.74,48.58,73.17,169.90,,,,,,,,,,,,,,,,,,,,,,
2316.72,28.40,85.43,50.43,72.25,169.28,,,,,,,,,,,,,,,,,,,,,,
2277.03,28.53,87.58,50.73,73.78,169.90,,,,,,,,,,,,,,,,,,,,,,
2254.36,28.67,86.04,50.11,74.40,171.12,,,,,,,,,,,,,,,,,,,,,,
2350.73,28.67,86.67,51.65,75.02,172.05,,,,,,,,,,,,,,,,,,,,,,
2339.39,28.80,85.44,52.57,75.63,173.58,,,,,,,,,,,,,,,,,,,,,,
2345.06,28.80,82.98,55.03,77.48,172.66,,,,,,,,,,,,,,,,,,,,,,
2333.72,28.93,81.75,54.42,76.25,176.03,,,,,,,,,,,,,,,,,,,,,,
2345.06,28.93,81.14,53.50,76.87,175.73,,,,,,,,,,,,,,,,,,,,,,
2345.06,29.20,80.52,53.50,73.48,174.50,,,,,,,,,,,,,,,,,,,,,,
